DISTRITO;PROVINCIA;ZONA;NOMBRE DE LA INSTITUCIÓN;SOSTENIMIENTO;MATRÍCULA EDUCACIÓN INICIAL (ALUMNOS DE 0-36 MESES);PENSIÓN EDUCACIÓN INICIAL (ALUMNOS DE 0-36 MESES);MATRÍCULA EDUCACIÓN INICIAL;PENSIÓN EDUCACIÓN INICIAL;MATRÍCULA EDUCACIÓN BASICA;PENSIÓN EDUCACIÓN BASICA;MATRÍCULA EDUCACIÓN BASICA SUPERIOR;PENSIÓN EDUCACIÓN BASICA SUPERIOR;MATRÍCULA BACHILLERATO;PENSIÓN BACHILLERATO;ESTADO;TELEFONO;SECTOR;DIRECCION;"TERAPIA DE LENGUAJE 
NOMBRE DE CONTACTO";"TERAPIA DE LENGUAJE 
CARGO CONTACTO";"TERAPIA DE LENGUAJE 
EMAIL";"TERAPIA DE LENGUAJE
PROCESO REALIZADO";"TERAPIA DE LENGUAJE
RESPONSABLE";"TERAPIA DE LENGUAJE
FECHA DE CONTACTO";"TL
GENERAL OBSERVACIONES";"TL
FECHA PROXIMO CONTACTO";"PSICOLOGIA
NOMBRE DE CONTACTO";"PSICOLOGIA
CARGO CONTACTO";"PSICOLOGIA
EMAIL";"PSICOLOGIA
PROCESO REALIZADO";"PSICOLOGIA
RESPONSABLE";"PSICOLOGIA
OBSERVACIÓN";"P
GENERAL OBSERVACIONES";"P
FECHA PROXIMO CONTACTO";"VYA
NOMBRE DE CONTACTO";"VYA
CARGO CONTACTO";"VYA
EMAIL";"VYA
PROCESO REALIZADO";"VYA
RESPONSABLE";"VYA
OBSERVACIÓN";"VYA
GENERAL OBSERVACIONES";"VYA
FECHA PROXIMO
 CONTACTO"
17D02;"SIERRA -
AMAZONIA";9;ISM INTERNATIONAL ACADEMY NORTH;PARTICULAR;225;360;186;298;237;379;237;379;269;430;SEGUIMIENTO;983438013;NORTE UIO;NORTH/ CALDERON, WEST /CARCELEN,QUITO/ EL INCA;LIC. Elina Zárate,Lic. Fernanda Naranjo, Lic. Nelly Noria,;COORDINADORA PREESCOLAR;northkids@ism.edu.ec,quitokids@ism.edu.ec, quitokids@ism.edu.ec;"EMAIL ENVIADO, 
SE RECIBIO RESPUESTA TELEFONICA, PENDIENTE CONCRETAR CITA";EMIRO;24/03/2025;PENDIENTE ACORDAR ENTREVISTA CON LA DIRECTORA, SE ENVIO WHATSAPP RECORDANDO LA PROGRAMACION DE LA ENTREVISTA;15/04/2025;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;COLEGIO ANTONIO FLORES;PARTICULAR;;;075;120;075;120;075;120;076;122;SEGUIMIENTO;2421382 2421383 0995864648;NORTE UIO;CARAPUNGO;ING, CHRISTIAN FLORES;GERENTE;col.antonioflores@hotmail.com;SE ENTREGO CARPETA CARPETA DE PRESENTACION;EMIRO;25/03/2025;SE ENVIO NUEVA PRESENTACION;15/04/2025;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;Escuela Alejandro Dumas;PARTICULAR;114;151;095;151;083;134;;;;;SEGUIMIENTO;2423741;NORTE UIO;WH32+55R, Jaime Roldos Aguilera, Quito 170203;KATHERIN PASTOR;DIRECTORA;info@alejandrodumas.edu.ec;PRESENTACION REALIZADA, SE CONTACTO TELEFONICAMENTE, NO HAY CONFIRMACION DEL PROCESO. ;EMIRO;25/03/2025;SE ENVIO NUEVA PRESENTACION;15/04/2025;;;;;;;;;;;;;;;;
;;;UE CARDENAL SPELLMAN FEMENINO;PARTICULAR;;;;;;;;;;;SEGUIMIENTO;996173705;NORTE UIO;Alonso de Mercadillo, Quito 170129;PAOLA VEGA, Daniela Díaz Msc.;DECE;pvega@cardinalspellman.edu.ec, ddiaz@cardinalspellman.edu.ec, vicerrectorado@cardinalspellman.edu.ec, rectorado@cardinalspellman.edu.ec,;SE REALIZO PRESENTACION;EMIRO;24/03/2025; SE REEVIO NUEVA PRESENTACION;15/04/2025;;;;;;;;;;;;;;;;
17D02;SIERRA - AMAZONIA;9;CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGUE FISCOMISIONAL POR LA PAZ;FISCOMISIONAL;;;022;035;022;035;;;;;CONTACTADO;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"ESCUELA DE EDUCACIÓN BÁSICA
CARRUSEL";PARTICULAR;;;;;55,34;88,55;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"ESCUELA DE EDUCACIÓN BÁSICA
PARTICULAR DOMINGO SAVIO";PARTICULAR;;;61,18;97,89;61,18;97,89;61,18;97,89;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"INSTITUCIÓN EDUCATIVA
PARTICULAR THE ATENEA SCHOOL";PARTICULAR;;;29,80;47,67;29,80;47,67;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"INSTITUCIÓN EDUCATIVA
PARTICULAR EL SEMBRADOR N 2";PARTICULAR;;;56,25;90,00;56,25;90,00;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;TIMOLEON POVEA GARZON;PARTICULAR;44,81;71,69;44,81;71,69;44,81;71,69;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR LOS
ALPES";PARTICULAR;;;71,21;113,93;71,21;113,93;79,12;126,59;79,12;126,59;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;FILADELFIA;PARTICULAR;;;54,18;86,68;54,18;86,68;54,18;86,68;54,18;86,68;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
ZARAN";PARTICULAR;;;105,11;168,18;105,11;168,18;105,11;168,18;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;FILADELFIA;PARTICULAR;;;;;54,19;86,68;54,19;86,68;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;FERENC BOTAR KENDUR;PARTICULAR;;;;;;;38,01;60,81;38,01;60,81;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;JULIO CESAR LABAKE;PARTICULAR;;;45,75;73,20;45,75;73,20;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;SIERRA - AMAZONIA;9;UNIDAD EDUCATIVA FISCOMISONAL FE Y ALEGRIA LA DOLOROSA;FISCOMISIONAL;;;;;015;024;015;024;015;024;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"ESCUELA PARTICULAR ANTONIO
FLORES NUMERO DOS";PARTICULAR;;;57,21;91,54;57,21;91,54;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PRESIDENTE
GEORGE WASHINGTON";PARTICULAR;;;83,44;133,50;83,44;133,50;83,44;133,50;86,36;138,18;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;JHON F KENNEDY;PARTICULAR;;;;;;;29,79;47,66;29,79;47,66;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;JHON F KENNEDY;PARTICULAR;;;;;;;35,61;56,98;35,61;56,98;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;ABACO CENTRO INFANTIL;PARTICULAR;112,50;150,00;93,75;150,00;;;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;"ESCUELA PARTICULAR BATALLA
NAVAL DE JAMBELI";PARTICULAR;;;;;49,25;78,79;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
17D02;"SIERRA -
AMAZONIA";9;CORAZON DE JESUS;PARTICULAR;;;41,28;66,04;41,28;66,04;;;;;;;NORTE UIO;;;;;;;;;;;;;;;;;;;;;;;;;
